,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,sh,sot,dist,fk,pk,pkatt,sota,saves,pka,pksv,cmp,att,totdist,prgdist,live,dead,tb,sw,crs,ti,ck,season,team
1,2022-08-05,20:30,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,4.0,0.9,63.0,51500.0,Manuel Neuer,4-4-2,Deniz Aytekin,23.0,10.0,16.6,1.0,0.0,0.0,2.0,1.0,0.0,0.0,572.0,661.0,10072.0,3374.0,623.0,35.0,7.0,4.0,14.0,11.0,6.0,2022-2023,Bayern Munich
2,2022-08-14,17:30,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,2.0,0.5,68.0,75000.0,Manuel Neuer,4-2-3-1,Harm Osmers,24.0,8.0,18.4,0.0,0.0,0.0,2.0,2.0,0.0,0.0,549.0,648.0,9680.0,3508.0,592.0,50.0,1.0,5.0,20.0,23.0,8.0,2022-2023,Bayern Munich
3,2022-08-21,17:30,Matchweek 3,Sun,Away,W,7,0,Bochum,2.9,0.7,64.0,26000.0,Manuel Neuer,4-4-2,Daniel Siebert,21.0,11.0,18.3,1.0,1.0,1.0,7.0,7.0,0.0,0.0,462.0,545.0,7943.0,3056.0,498.0,42.0,3.0,2.0,10.0,16.0,5.0,2022-2023,Bayern Munich
4,2022-08-27,18:30,Matchweek 4,Sat,Home,D,1,1,M'Gladbach,2.8,0.5,69.0,75000.0,Manuel Neuer,4-2-2-2,Daniel Schlager,33.0,20.0,17.4,1.0,0.0,0.0,3.0,2.0,0.0,0.0,576.0,675.0,9943.0,3614.0,621.0,47.0,1.0,7.0,33.0,20.0,14.0,2022-2023,Bayern Munich
6,2022-09-03,15:30,Matchweek 5,Sat,Away,D,1,1,Union Berlin,1.5,0.3,74.0,22012.0,Manuel Neuer,4-2-3-1,Frank Willenborg,21.0,6.0,18.1,0.0,0.0,0.0,2.0,1.0,0.0,0.0,657.0,762.0,10395.0,3464.0,710.0,50.0,6.0,2.0,17.0,17.0,7.0,2022-2023,Bayern Munich
8,2022-09-10,15:30,Matchweek 6,Sat,Home,D,2,2,Stuttgart,2.2,1.2,66.0,75000.0,Manuel Neuer,4-2-3-1,Christian Dingert,19.0,6.0,17.5,1.0,0.0,0.0,3.0,1.0,1.0,0.0,581.0,657.0,9600.0,3167.0,616.0,39.0,2.0,1.0,8.0,20.0,3.0,2022-2023,Bayern Munich
10,2022-09-17,15:30,Matchweek 7,Sat,Away,L,0,1,Augsburg,1.6,1.7,76.0,30660.0,Manuel Neuer,4-2-3-1,Marco Fritz,19.0,6.0,18.8,0.0,0.0,0.0,4.0,3.0,0.0,0.0,590.0,730.0,10161.0,4536.0,671.0,57.0,3.0,4.0,26.0,20.0,8.0,2022-2023,Bayern Munich
11,2022-09-30,20:30,Matchweek 8,Fri,Home,W,4,0,Leverkusen,1.9,0.8,62.0,75000.0,Manuel Neuer,4-2-3-1,Tobias Stieler,20.0,9.0,16.6,2.0,0.0,0.0,5.0,5.0,0.0,0.0,597.0,679.0,10074.0,3512.0,646.0,33.0,0.0,4.0,15.0,17.0,6.0,2022-2023,Bayern Munich
13,2022-10-08,18:30,Matchweek 9,Sat,Away,D,2,2,Dortmund,0.6,1.6,56.0,81365.0,Manuel Neuer,4-2-3-1,Deniz Aytekin,9.0,3.0,20.5,0.0,0.0,0.0,6.0,4.0,0.0,0.0,500.0,610.0,8966.0,3268.0,565.0,43.0,2.0,2.0,10.0,21.0,4.0,2022-2023,Bayern Munich
15,2022-10-16,19:30,Matchweek 10,Sun,Home,W,5,0,Freiburg,2.1,0.3,66.0,75000.0,Joshua Kimmich,4-2-3-1,Sascha Stegemann,16.0,8.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,652.0,9771.0,3334.0,608.0,42.0,1.0,2.0,14.0,22.0,5.0,2022-2023,Bayern Munich
